Time (secs);Force sensor voltage (volts);Force sensor voltage error (volts);Diode circuit voltage (volts);Diode circuit voltage error (volts)
1.51E+02;6.20E-01;1.73E-03;1.00E+00;1.09E-03
1.52E+02;6.20E-01;1.45E-03;1.00E+00;1.02E-03
1.53E+02;6.19E-01;1.65E-03;1.00E+00;1.20E-03
1.54E+02;6.20E-01;1.68E-03;1.00E+00;1.23E-03
1.55E+02;6.19E-01;1.36E-03;1.00E+00;1.27E-03
1.56E+02;6.19E-01;1.50E-03;1.00E+00;1.14E-03
1.57E+02;6.19E-01;1.40E-03;1.00E+00;1.05E-03
1.58E+02;6.19E-01;1.33E-03;1.00E+00;1.41E-03
1.59E+02;6.19E-01;1.33E-03;1.00E+00;1.12E-03
1.60E+02;6.19E-01;1.31E-03;1.00E+00;1.24E-03
1.61E+02;6.19E-01;1.29E-03;1.00E+00;1.21E-03
1.62E+02;6.19E-01;1.16E-03;1.00E+00;1.24E-03
1.63E+02;6.19E-01;1.13E-03;1.00E+00;1.15E-03
1.64E+02;6.20E-01;1.25E-03;1.00E+00;9.51E-04
1.65E+02;6.20E-01;1.35E-03;1.00E+00;8.93E-04
1.66E+02;6.20E-01;1.28E-03;1.00E+00;1.13E-03
1.67E+02;6.19E-01;1.17E-03;1.00E+00;1.10E-03
1.68E+02;6.19E-01;1.41E-03;1.00E+00;1.07E-03
1.69E+02;6.19E-01;1.49E-03;1.00E+00;1.00E-03
1.70E+02;6.19E-01;1.54E-03;1.00E+00;1.18E-03
1.71E+02;6.19E-01;1.51E-03;1.00E+00;1.08E-03
1.72E+02;6.19E-01;1.37E-03;1.00E+00;1.09E-03
1.73E+02;6.20E-01;1.42E-03;1.00E+00;1.09E-03
1.74E+02;6.19E-01;1.42E-03;1.00E+00;1.18E-03
1.75E+02;6.20E-01;1.69E-03;1.00E+00;1.17E-03
1.76E+02;6.20E-01;1.76E-03;1.00E+00;1.21E-03
1.77E+02;6.20E-01;1.85E-03;1.00E+00;1.04E-03
1.78E+02;6.20E-01;1.88E-03;1.00E+00;1.26E-03
1.79E+02;6.20E-01;1.95E-03;1.00E+00;1.42E-03
1.80E+02;6.20E-01;2.23E-03;1.00E+00;1.04E-03
1.81E+02;6.20E-01;1.95E-03;1.00E+00;1.22E-03
1.82E+02;6.20E-01;2.16E-03;1.00E+00;1.31E-03
1.83E+02;6.20E-01;2.10E-03;1.00E+00;1.31E-03
1.84E+02;6.20E-01;1.86E-03;1.00E+00;1.07E-03
1.85E+02;6.20E-01;2.27E-03;1.00E+00;1.31E-03
1.86E+02;6.20E-01;1.97E-03;1.00E+00;1.15E-03
1.87E+02;6.20E-01;1.78E-03;1.00E+00;1.10E-03
1.88E+02;6.20E-01;1.80E-03;1.00E+00;1.15E-03
1.89E+02;6.20E-01;1.98E-03;1.00E+00;1.18E-03
1.90E+02;6.20E-01;2.06E-03;1.00E+00;1.08E-03
1.91E+02;6.20E-01;1.94E-03;1.00E+00;1.14E-03
1.92E+02;6.20E-01;1.81E-03;1.00E+00;1.47E-03
1.93E+02;6.20E-01;1.49E-03;1.00E+00;1.24E-03
1.94E+02;6.20E-01;1.32E-03;1.00E+00;1.17E-03
1.95E+02;6.20E-01;1.36E-03;1.00E+00;1.06E-03
1.96E+02;6.20E-01;1.51E-03;1.00E+00;9.84E-04
1.97E+02;6.20E-01;1.15E-03;1.00E+00;9.42E-04
1.98E+02;6.20E-01;1.40E-03;1.00E+00;1.07E-03
1.99E+02;6.20E-01;1.21E-03;1.00E+00;1.19E-03
2.00E+02;6.20E-01;1.33E-03;1.00E+00;1.22E-03
2.01E+02;6.20E-01;1.20E-03;1.00E+00;1.19E-03
2.02E+02;6.20E-01;1.17E-03;1.00E+00;1.21E-03
2.03E+02;6.20E-01;1.45E-03;1.00E+00;1.09E-03
2.04E+02;6.20E-01;1.20E-03;1.00E+00;1.13E-03
2.05E+02;6.20E-01;1.41E-03;1.00E+00;1.22E-03
2.06E+02;6.20E-01;1.60E-03;1.00E+00;1.43E-03
2.07E+02;6.20E-01;1.61E-03;1.00E+00;1.19E-03
2.08E+02;6.20E-01;1.34E-03;1.00E+00;1.19E-03
2.09E+02;6.20E-01;1.36E-03;1.00E+00;1.19E-03
2.10E+02;6.20E-01;1.00E-03;1.00E+00;1.15E-03
2.11E+02;6.20E-01;1.28E-03;1.00E+00;1.08E-03
2.12E+02;6.20E-01;1.77E-03;1.00E+00;1.34E-03
2.13E+02;6.20E-01;1.76E-03;1.00E+00;1.18E-03
2.14E+02;6.20E-01;1.59E-03;1.00E+00;1.03E-03
2.15E+02;6.20E-01;1.79E-03;1.00E+00;1.06E-03
2.16E+02;6.20E-01;1.79E-03;1.00E+00;1.18E-03
2.17E+02;6.20E-01;1.73E-03;1.00E+00;1.04E-03
2.18E+02;6.20E-01;2.12E-03;1.00E+00;1.02E-03
2.19E+02;6.20E-01;2.03E-03;1.00E+00;9.85E-04
2.20E+02;6.20E-01;1.76E-03;1.00E+00;8.62E-04
2.21E+02;6.19E-01;1.71E-03;1.00E+00;1.08E-03
2.22E+02;6.19E-01;1.73E-03;1.00E+00;1.06E-03
2.23E+02;6.19E-01;1.77E-03;1.00E+00;8.46E-04
2.24E+02;6.19E-01;1.75E-03;1.00E+00;1.21E-03
2.25E+02;6.19E-01;2.08E-03;1.00E+00;1.03E-03
2.26E+02;6.20E-01;1.81E-03;1.00E+00;1.19E-03
2.27E+02;6.20E-01;1.91E-03;1.00E+00;1.35E-03
2.28E+02;6.20E-01;2.02E-03;1.00E+00;1.35E-03
2.29E+02;6.20E-01;2.03E-03;1.00E+00;1.08E-03
2.30E+02;6.20E-01;1.87E-03;1.00E+00;1.06E-03
2.31E+02;6.21E-01;1.91E-03;1.00E+00;1.24E-03
2.32E+02;6.20E-01;1.63E-03;1.00E+00;1.27E-03
2.33E+02;6.20E-01;1.62E-03;1.00E+00;1.14E-03
2.34E+02;6.20E-01;1.51E-03;1.00E+00;1.36E-03
2.35E+02;6.20E-01;1.55E-03;1.00E+00;1.07E-03
2.36E+02;6.20E-01;1.51E-03;1.00E+00;1.13E-03
2.37E+02;6.21E-01;1.40E-03;1.00E+00;1.34E-03
2.38E+02;6.21E-01;1.74E-03;1.00E+00;1.16E-03
2.39E+02;6.20E-01;1.25E-03;1.00E+00;1.11E-03
2.40E+02;6.21E-01;1.26E-03;1.00E+00;1.09E-03
